Complaint_ID,Intake_Date,Days_To_Close,Program_Type,Civil_Rights_Flag,Determination,Region,SLA_Breach
FNS-2025-0035,2026-01-06,14,SFSP,False,Unsubstantiated,San Antonio,False
FNS-2025-0036,2025-12-22,40,NSLP,True,Non-Responsive,Dallas,True
FNS-2025-0037,2025-08-20,16,CACFP,False,Substantiated,Austin,False
FNS-2025-0038,2026-06-29,37,SFSP,True,Non-Responsive,Houston,True
FNS-2025-0039,2025-08-24,16,SFSP,False,Unsubstantiated,Austin,False
FNS-2025-0040,2026-03-01,20,CACFP,False,Unsubstantiated,Austin,False
FNS-2025-0041,2026-05-16,19,CACFP,False,Substantiated,Fort Worth,False
FNS-2025-0042,2025-11-08,20,SFSP,False,Substantiated,Fort Worth,False
FNS-2025-0043,2026-05-03,32,SFSP,False,Substantiated,Dallas,True
FNS-2025-0044,2025-11-12,14,CACFP,False,Substantiated,San Antonio,False
FNS-2025-0045,2025-07-21,44,SFSP,True,Inconclusive,Austin,True
FNS-2025-0046,2026-05-25,6,NSLP,False,Unsubstantiated,Houston,False
FNS-2025-0047,2025-12-14,26,NSLP,True,Substantiated,Lubbock,False
FNS-2025-0048,2026-03-31,36,CACFP,True,Substantiated,Austin,True
FNS-2025-0049,2025-09-27,19,CACFP,False,Inconclusive,Austin,False
FNS-2025-0050,2026-05-12,22,CACFP,False,Substantiated,Dallas,False
FNS-2025-0051,2025-07-14,18,NSLP,False,Unsubstantiated,San Antonio,False
FNS-2025-0052,2026-02-27,19,SFSP,False,Substantiated,Lubbock,False
FNS-2025-0053,2026-03-22,19,NSLP,False,Unsubstantiated,Fort Worth,False
FNS-2025-0054,2026-06-11,20,SFSP,False,Substantiated,Fort Worth,False
FNS-2025-0055,2025-08-22,20,NSLP,False,Substantiated,Houston,False
FNS-2025-0056,2026-06-05,19,SFSP,False,Substantiated,Lubbock,False
FNS-2025-0057,2025-09-30,32,NSLP,True,Unsubstantiated,Fort Worth,True
FNS-2025-0058,2026-03-21,18,CACFP,False,Substantiated,Houston,False
FNS-2025-0059,2025-08-04,36,NSLP,True,Inconclusive,San Antonio,True
FNS-2025-0060,2026-01-22,36,SFSP,True,Substantiated,Houston,True
FNS-2025-0061,2025-09-19,16,NSLP,False,Unsubstantiated,Fort Worth,False
FNS-2025-0062,2025-08-19,28,NSLP,True,Inconclusive,Dallas,False
FNS-2025-0063,2026-06-25,11,NSLP,False,Substantiated,Dallas,False
FNS-2025-0064,2025-07-02,28,CACFP,False,Inconclusive,Dallas,False
FNS-2025-0065,2025-08-23,13,NSLP,False,Inconclusive,Fort Worth,False
FNS-2025-0066,2025-10-14,15,CACFP,False,Unsubstantiated,Dallas,False
FNS-2025-0067,2026-03-17,40,CACFP,True,Unsubstantiated,Lubbock,True
FNS-2025-0068,2026-05-06,12,NSLP,False,Unsubstantiated,San Antonio,False
FNS-2025-0069,2026-01-07,11,NSLP,False,Unsubstantiated,Houston,False
FNS-2025-0070,2026-02-03,30,NSLP,False,Non-Responsive,Houston,False
FNS-2025-0071,2025-08-13,24,SFSP,False,Inconclusive,Fort Worth,False
FNS-2025-0072,2025-12-09,19,NSLP,False,Inconclusive,Dallas,False
FNS-2025-0073,2026-01-18,50,CACFP,True,Substantiated,Dallas,True
FNS-2025-0074,2026-03-27,23,NSLP,False,Substantiated,Austin,False
FNS-2025-0075,2026-06-16,13,SFSP,False,Substantiated,San Antonio,False
FNS-2025-0076,2026-04-30,20,NSLP,False,Substantiated,Lubbock,False
FNS-2025-0077,2026-03-28,23,SFSP,True,Substantiated,Houston,False
FNS-2025-0078,2026-01-31,22,SFSP,False,Unsubstantiated,Austin,False
FNS-2025-0079,2026-03-09,17,NSLP,False,Unsubstantiated,Austin,False
FNS-2025-0080,2026-01-06,22,CACFP,False,Substantiated,Fort Worth,False
FNS-2025-0081,2026-04-22,28,SFSP,False,Substantiated,Houston,False
FNS-2025-0082,2026-01-29,45,NSLP,True,Unsubstantiated,Fort Worth,True
FNS-2025-0083,2026-01-24,19,NSLP,False,Substantiated,Lubbock,False
FNS-2025-0084,2026-02-22,24,CACFP,False,Unsubstantiated,Austin,False
FNS-2025-0085,2026-06-03,32,SFSP,True,Unsubstantiated,Austin,True
FNS-2025-0086,2025-08-22,20,SFSP,False,Unsubstantiated,San Antonio,False
FNS-2025-0087,2026-04-06,12,NSLP,False,Substantiated,Lubbock,False
FNS-2025-0088,2026-02-02,16,NSLP,False,Unsubstantiated,Austin,False
FNS-2025-0089,2026-03-09,22,CACFP,False,Unsubstantiated,Lubbock,False
FNS-2025-0090,2026-01-04,11,CACFP,False,Unsubstantiated,Houston,False
FNS-2025-0091,2025-08-10,20,SFSP,False,Unsubstantiated,Dallas,False
FNS-2025-0092,2025-12-04,36,SFSP,True,Substantiated,Austin,True
FNS-2025-0093,2025-07-15,23,NSLP,False,Substantiated,San Antonio,False
FNS-2025-0094,2026-04-27,12,SFSP,False,Substantiated,Houston,False
FNS-2025-0095,2025-09-03,11,CACFP,False,Unsubstantiated,Lubbock,False
FNS-2025-0096,2026-06-10,24,CACFP,False,Inconclusive,Fort Worth,False
FNS-2025-0097,2026-05-23,20,NSLP,False,Substantiated,Houston,False
FNS-2025-0098,2025-07-09,18,CACFP,False,Unsubstantiated,Austin,False
FNS-2025-0099,2026-06-09,12,CACFP,False,Unsubstantiated,Lubbock,False
FNS-2025-0100,2025-11-06,17,CACFP,False,Inconclusive,Dallas,False
FNS-2025-0101,2025-11-13,14,CACFP,False,Inconclusive,Houston,False
FNS-2025-0102,2025-09-01,24,NSLP,False,Unsubstantiated,Austin,False
FNS-2025-0103,2025-11-16,13,NSLP,False,Unsubstantiated,San Antonio,False
FNS-2025-0104,2025-09-19,18,SFSP,False,Unsubstantiated,Fort Worth,False
FNS-2025-0105,2025-12-10,24,CACFP,False,Inconclusive,Lubbock,False
FNS-2025-0106,2026-04-15,39,SFSP,True,Unsubstantiated,Houston,True
FNS-2025-0107,2026-03-18,17,NSLP,False,Unsubstantiated,Houston,False
FNS-2025-0108,2026-02-16,39,NSLP,True,Substantiated,Dallas,True
FNS-2025-0109,2025-08-10,24,NSLP,False,Substantiated,Dallas,False
FNS-2025-0110,2025-07-28,20,NSLP,False,Substantiated,San Antonio,False
FNS-2025-0111,2025-11-12,38,NSLP,True,Unsubstantiated,Fort Worth,True
FNS-2025-0112,2026-01-17,32,NSLP,False,Non-Responsive,San Antonio,True
FNS-2025-0113,2026-05-24,42,NSLP,True,Non-Responsive,Austin,True
FNS-2025-0114,2026-03-25,34,CACFP,True,Inconclusive,Austin,True
FNS-2025-0115,2025-08-02,12,SFSP,False,Substantiated,San Antonio,False
FNS-2025-0116,2025-08-17,22,NSLP,False,Substantiated,Fort Worth,False
FNS-2025-0117,2025-08-31,27,CACFP,True,Substantiated,San Antonio,False
FNS-2025-0118,2026-02-01,26,CACFP,False,Unsubstantiated,Fort Worth,False
FNS-2025-0119,2026-04-19,22,SFSP,False,Substantiated,Fort Worth,False
FNS-2025-0120,2025-10-07,21,NSLP,True,Inconclusive,Lubbock,False
FNS-2025-0121,2025-12-19,24,SFSP,False,Substantiated,Fort Worth,False
FNS-2025-0122,2026-06-25,36,NSLP,True,Unsubstantiated,Dallas,True
FNS-2025-0123,2026-01-30,39,CACFP,True,Substantiated,Fort Worth,True
FNS-2025-0124,2025-08-04,20,CACFP,False,Inconclusive,Fort Worth,False
FNS-2025-0125,2026-02-12,37,CACFP,False,Non-Responsive,Fort Worth,True
FNS-2025-0126,2025-10-09,16,CACFP,False,Unsubstantiated,Austin,False
FNS-2025-0127,2025-11-08,24,SFSP,False,Unsubstantiated,Dallas,False
FNS-2025-0128,2026-03-14,34,NSLP,False,Non-Responsive,Dallas,True
FNS-2025-0129,2025-07-05,11,NSLP,False,Inconclusive,San Antonio,False
FNS-2025-0130,2026-02-03,11,SFSP,False,Unsubstantiated,Lubbock,False
FNS-2025-0131,2026-03-12,18,NSLP,False,Substantiated,Fort Worth,False
FNS-2025-0132,2026-06-24,29,CACFP,True,Substantiated,Houston,False
FNS-2025-0133,2026-04-09,10,NSLP,False,Substantiated,Lubbock,False
FNS-2025-0134,2026-01-23,26,CACFP,True,Unsubstantiated,Lubbock,False
FNS-2025-0135,2025-07-15,33,SFSP,True,Substantiated,Dallas,True
FNS-2025-0136,2026-06-11,15,NSLP,False,Inconclusive,Lubbock,False
FNS-2025-0137,2025-08-11,42,SFSP,False,Non-Responsive,Fort Worth,True
FNS-2025-0138,2025-12-26,16,NSLP,False,Substantiated,Fort Worth,False
FNS-2025-0139,2025-09-01,37,CACFP,False,Non-Responsive,Austin,True
FNS-2025-0140,2026-06-17,46,SFSP,True,Unsubstantiated,Fort Worth,True
FNS-2025-0141,2026-02-16,31,NSLP,True,Substantiated,Fort Worth,True
FNS-2025-0142,2026-02-26,30,CACFP,True,Substantiated,Dallas,False
FNS-2025-0143,2025-08-21,17,SFSP,False,Inconclusive,Fort Worth,False
FNS-2025-0144,2025-10-04,32,SFSP,False,Non-Responsive,Austin,True
FNS-2025-0145,2026-02-07,18,NSLP,False,Inconclusive,Houston,False
FNS-2025-0146,2026-02-16,26,NSLP,True,Inconclusive,Dallas,False
FNS-2025-0147,2026-02-22,21,NSLP,False,Unsubstantiated,Houston,False
FNS-2025-0148,2025-11-20,18,CACFP,False,Substantiated,Dallas,False
FNS-2025-0149,2025-12-18,31,NSLP,False,Substantiated,San Antonio,True
FNS-2025-0150,2025-07-29,24,SFSP,False,Unsubstantiated,Lubbock,False
FNS-2025-0151,2025-08-05,18,SFSP,False,Substantiated,San Antonio,False
FNS-2025-0152,2025-07-13,39,NSLP,True,Substantiated,Fort Worth,True
FNS-2025-0153,2025-12-07,22,NSLP,False,Inconclusive,Houston,False
FNS-2025-0154,2026-05-23,25,SFSP,False,Unsubstantiated,Fort Worth,False
FNS-2025-0155,2026-01-03,22,CACFP,True,Substantiated,Lubbock,False
FNS-2025-0156,2026-02-28,26,NSLP,True,Substantiated,Dallas,False
FNS-2025-0157,2025-09-24,29,NSLP,True,Inconclusive,Lubbock,False
FNS-2025-0158,2026-04-10,34,SFSP,True,Substantiated,Austin,True
FNS-2025-0159,2025-09-04,5,NSLP,False,Unsubstantiated,Lubbock,False
FNS-2025-0160,2025-12-17,15,CACFP,False,Unsubstantiated,Austin,False
FNS-2025-0161,2025-08-14,26,SFSP,False,Inconclusive,Lubbock,False
FNS-2025-0162,2025-08-31,27,NSLP,True,Unsubstantiated,Austin,False
FNS-2025-0163,2025-11-11,21,SFSP,False,Substantiated,Houston,False
FNS-2025-0164,2026-04-10,21,NSLP,False,Unsubstantiated,Fort Worth,False
FNS-2025-0165,2025-07-28,37,NSLP,True,Inconclusive,Fort Worth,True
FNS-2025-0166,2025-10-16,23,NSLP,False,Inconclusive,San Antonio,False
FNS-2025-0167,2025-08-13,25,CACFP,False,Unsubstantiated,Fort Worth,False
FNS-2025-0168,2026-06-05,27,CACFP,False,Inconclusive,Dallas,False
FNS-2025-0169,2026-04-12,18,SFSP,False,Substantiated,Lubbock,False
FNS-2025-0170,2026-05-27,29,NSLP,True,Inconclusive,San Antonio,False
FNS-2025-0171,2025-11-05,22,NSLP,False,Substantiated,Dallas,False
FNS-2025-0172,2026-06-13,22,CACFP,False,Unsubstantiated,Dallas,False
FNS-2025-0173,2026-02-16,24,NSLP,False,Substantiated,Austin,False
FNS-2025-0174,2026-01-06,27,CACFP,False,Non-Responsive,Fort Worth,False
FNS-2025-0175,2026-02-10,23,NSLP,False,Unsubstantiated,Houston,False
FNS-2025-0176,2026-04-09,25,SFSP,True,Unsubstantiated,Houston,False
FNS-2025-0177,2025-10-29,36,NSLP,True,Inconclusive,San Antonio,True
FNS-2025-0178,2025-10-24,17,NSLP,False,Unsubstantiated,Houston,False
FNS-2025-0179,2026-02-18,42,CACFP,True,Non-Responsive,Lubbock,True
FNS-2025-0180,2026-03-16,27,NSLP,False,Non-Responsive,Houston,False
FNS-2025-0181,2026-06-24,20,NSLP,False,Substantiated,San Antonio,False
FNS-2025-0182,2026-01-14,22,CACFP,False,Substantiated,Houston,False
FNS-2025-0183,2025-11-14,18,SFSP,False,Substantiated,Lubbock,False
FNS-2025-0184,2026-05-14,20,SFSP,False,Unsubstantiated,Austin,False
FNS-2025-0185,2025-12-12,17,CACFP,False,Substantiated,San Antonio,False
FNS-2025-0186,2026-02-10,20,CACFP,False,Inconclusive,Austin,False
FNS-2025-0187,2026-05-03,34,CACFP,False,Non-Responsive,Austin,True
FNS-2025-0188,2026-02-19,17,CACFP,False,Substantiated,Austin,False
FNS-2025-0189,2025-12-19,19,CACFP,False,Substantiated,Dallas,False
FNS-2025-0190,2025-11-29,9,SFSP,False,Inconclusive,Fort Worth,False
FNS-2025-0191,2026-05-11,23,SFSP,True,Unsubstantiated,Dallas,False
FNS-2025-0192,2025-12-07,36,CACFP,True,Non-Responsive,Fort Worth,True
FNS-2025-0193,2025-10-04,26,NSLP,True,Substantiated,Austin,False
FNS-2025-0194,2026-02-18,33,CACFP,True,Inconclusive,San Antonio,True
FNS-2025-0195,2025-12-27,42,NSLP,True,Unsubstantiated,Fort Worth,True
FNS-2025-0196,2025-10-21,26,CACFP,False,Substantiated,Lubbock,False
FNS-2025-0197,2026-05-14,37,CACFP,True,Non-Responsive,Lubbock,True
FNS-2025-0198,2025-08-21,28,SFSP,False,Non-Responsive,Houston,False
FNS-2025-0199,2026-03-25,13,NSLP,False,Unsubstantiated,Fort Worth,False
FNS-2025-0200,2026-04-21,46,NSLP,True,Substantiated,San Antonio,True
FNS-2025-0201,2025-10-21,36,SFSP,False,Non-Responsive,Dallas,True
FNS-2025-0202,2025-10-09,33,SFSP,True,Substantiated,Austin,True
FNS-2025-0203,2025-10-21,35,SFSP,True,Substantiated,Houston,True
FNS-2025-0204,2025-09-19,18,SFSP,False,Unsubstantiated,Lubbock,False
FNS-2025-0205,2026-01-03,22,NSLP,False,Inconclusive,Dallas,False
FNS-2025-0206,2025-10-21,19,NSLP,False,Substantiated,Dallas,False
FNS-2025-0207,2025-07-02,23,CACFP,False,Inconclusive,Austin,False
FNS-2025-0208,2025-11-07,23,CACFP,False,Inconclusive,Fort Worth,False
FNS-2025-0209,2026-02-05,28,SFSP,True,Inconclusive,Lubbock,False
FNS-2025-0210,2025-08-23,37,SFSP,True,Substantiated,San Antonio,True
FNS-2025-0211,2026-06-08,37,SFSP,False,Non-Responsive,Dallas,True
FNS-2025-0212,2026-02-09,22,CACFP,False,Unsubstantiated,Austin,False
FNS-2025-0213,2026-02-10,21,CACFP,False,Substantiated,San Antonio,False
FNS-2025-0214,2025-11-03,16,CACFP,False,Unsubstantiated,Fort Worth,False
FNS-2025-0215,2025-11-07,16,CACFP,False,Substantiated,Lubbock,False
FNS-2025-0216,2025-08-22,19,CACFP,False,Unsubstantiated,Fort Worth,False
FNS-2025-0217,2025-12-19,16,CACFP,False,Substantiated,Dallas,False
FNS-2025-0218,2026-02-03,24,CACFP,False,Unsubstantiated,San Antonio,False
FNS-2025-0219,2025-12-07,19,SFSP,False,Substantiated,San Antonio,False
FNS-2025-0220,2026-01-14,16,SFSP,False,Unsubstantiated,San Antonio,False
FNS-2025-0221,2026-03-04,25,SFSP,False,Unsubstantiated,Dallas,False
FNS-2025-0222,2026-05-20,14,SFSP,False,Inconclusive,Dallas,False
FNS-2025-0223,2026-01-19,34,CACFP,True,Inconclusive,Fort Worth,True
FNS-2025-0224,2025-12-31,17,NSLP,False,Substantiated,Houston,False
FNS-2025-0225,2025-10-31,32,CACFP,False,Substantiated,Fort Worth,True
FNS-2025-0226,2026-03-12,19,NSLP,False,Unsubstantiated,Lubbock,False
FNS-2025-0227,2026-04-20,15,SFSP,False,Unsubstantiated,Austin,False
FNS-2025-0228,2026-04-06,20,CACFP,False,Unsubstantiated,San Antonio,False
FNS-2025-0229,2026-05-21,19,SFSP,False,Substantiated,Houston,False
FNS-2025-0230,2025-10-06,29,CACFP,True,Substantiated,Austin,False
FNS-2025-0231,2026-01-14,24,SFSP,False,Unsubstantiated,Houston,False
FNS-2025-0232,2026-02-25,39,NSLP,True,Substantiated,Fort Worth,True
FNS-2025-0233,2025-11-21,21,NSLP,False,Substantiated,Dallas,False
FNS-2025-0234,2025-10-05,16,NSLP,False,Unsubstantiated,San Antonio,False
FNS-2025-0235,2026-01-17,29,CACFP,False,Substantiated,Fort Worth,False
FNS-2025-0236,2025-11-01,21,NSLP,False,Inconclusive,Austin,False
FNS-2025-0237,2026-01-03,17,CACFP,False,Unsubstantiated,Austin,False
FNS-2025-0238,2026-05-22,25,NSLP,False,Inconclusive,Austin,False
FNS-2025-0239,2026-06-14,35,NSLP,True,Substantiated,Austin,True
FNS-2025-0240,2026-03-16,24,CACFP,False,Inconclusive,Austin,False
FNS-2025-0241,2025-11-25,22,CACFP,False,Unsubstantiated,Houston,False
FNS-2025-0242,2026-03-09,30,NSLP,False,Unsubstantiated,Fort Worth,False
FNS-2025-0243,2026-06-11,14,CACFP,False,Substantiated,San Antonio,False
FNS-2025-0244,2025-11-24,17,NSLP,False,Inconclusive,Dallas,False
FNS-2025-0245,2025-11-25,55,CACFP,True,Unsubstantiated,Dallas,True
FNS-2025-0246,2026-06-17,19,SFSP,False,Unsubstantiated,Fort Worth,False
FNS-2025-0247,2026-01-15,27,SFSP,True,Substantiated,Fort Worth,False
FNS-2025-0248,2026-05-04,22,SFSP,False,Unsubstantiated,Dallas,False
FNS-2025-0249,2025-11-05,25,SFSP,False,Substantiated,Dallas,False
FNS-2025-0250,2025-08-08,19,SFSP,False,Unsubstantiated,Houston,False
